mes,ipca,ipca_15,inpc,igp_di,igp_m
2000 jan,0.62,NA,0.61,1.02,1.24
2000 fev,0.13,NA,0.05,0.19,0.35
2000 mar,0.22,NA,0.13,0.18,0.15
2000 abr,0.42,NA,0.09,0.13,0.23
2000 mai,0.01,0.09,-0.05,0.67,0.31
2000 jun,0.23,0.08,0.3,0.93,0.85
2000 jul,1.61,0.78,1.39,2.26,1.57
2000 ago,1.31,1.99,1.21,1.82,2.39
2000 set,0.23,0.45,0.43,0.69,1.16
2000 out,0.14,0.18,0.16,0.37,0.38
2000 nov,0.32,0.17,0.29,0.39,0.29
2000 dez,0.59,0.6,0.55,0.76,0.63
2001 jan,0.57,0.63,0.77,0.49,0.62
2001 fev,0.46,0.5,0.49,0.34,0.23
2001 mar,0.38,0.36,0.48,0.8,0.56
2001 abr,0.58,0.5,0.84,1.13,1
2001 mai,0.41,0.49,0.57,0.44,0.86
2001 jun,0.52,0.38,0.6,1.46,0.98
2001 jul,1.33,0.94,1.11,1.62,1.48
2001 ago,0.7,1.18,0.79,0.9,1.38
2001 set,0.28,0.38,0.44,0.38,0.31
2001 out,0.83,0.37,0.94,1.45,1.18
2001 nov,0.71,0.99,1.29,0.76,1.1
2001 dez,0.65,0.55,0.74,0.18,0.22
2002 jan,0.52,0.62,1.07,0.19,0.36
2002 fev,0.36,0.44,0.31,0.18,0.06
2002 mar,0.6,0.4,0.62,0.11,0.09
2002 abr,0.8,0.78,0.68,0.7,0.56
2002 mai,0.21,0.42,0.09,1.11,0.83
2002 jun,0.42,0.33,0.61,1.74,1.54
2002 jul,1.19,0.77,1.15,2.05,1.95
2002 ago,0.65,1,0.86,2.36,2.32
2002 set,0.72,0.62,0.83,2.64,2.4
2002 out,1.31,0.9,1.57,4.21,3.87
2002 nov,3.02,2.08,3.39,5.84,5.19
2002 dez,2.1,3.05,2.7,2.7,3.75
2003 jan,2.25,1.98,2.47,2.17,2.33
2003 fev,1.57,2.19,1.46,1.59,2.28
2003 mar,1.23,1.14,1.37,1.66,1.53
2003 abr,0.97,1.14,1.38,0.41,0.92
2003 mai,0.61,0.85,0.99,-0.67,-0.26
2003 jun,-0.15,0.22,-0.06,-0.7,-1
2003 jul,0.2,-0.18,0.04,-0.2,-0.42
2003 ago,0.34,0.27,0.18,0.62,0.38
2003 set,0.78,0.57,0.82,1.05,1.18
2003 out,0.29,0.66,0.39,0.44,0.38
2003 nov,0.34,0.17,0.37,0.48,0.49
2003 dez,0.52,0.46,0.54,0.6,0.61
2004 jan,0.76,0.68,0.83,0.8,0.88
2004 fev,0.61,0.9,0.39,1.08,0.69
2004 mar,0.47,0.4,0.57,0.93,1.13
2004 abr,0.37,0.21,0.41,1.15,1.21
2004 mai,0.51,0.54,0.4,1.46,1.31
2004 jun,0.71,0.56,0.5,1.29,1.38
2004 jul,0.91,0.93,0.73,1.14,1.31
2004 ago,0.69,0.79,0.5,1.31,1.22
2004 set,0.33,0.49,0.17,0.48,0.69
2004 out,0.44,0.32,0.17,0.53,0.39
2004 nov,0.69,0.63,0.44,0.82,0.82
2004 dez,0.86,0.84,0.86,0.52,0.74
2005 jan,0.58,0.68,0.57,0.33,0.39
2005 fev,0.59,0.74,0.44,0.4,0.3
2005 mar,0.61,0.35,0.73,0.99,0.85
2005 abr,0.87,0.74,0.91,0.51,0.86
2005 mai,0.49,0.83,0.7,-0.25,-0.22
2005 jun,-0.02,0.12,-0.11,-0.45,-0.44
2005 jul,0.25,0.11,0.03,-0.4,-0.34
2005 ago,0.17,0.28,0,-0.79,-0.65
2005 set,0.35,0.16,0.15,-0.13,-0.53
2005 out,0.75,0.56,0.58,0.63,0.6
2005 nov,0.55,0.78,0.54,0.33,0.4
2005 dez,0.36,0.38,0.4,0.07,-0.01
2006 jan,0.59,0.51,0.38,0.72,0.92
2006 fev,0.41,0.52,0.23,-0.06,0.01
2006 mar,0.43,0.37,0.27,-0.45,-0.23
2006 abr,0.21,0.17,0.12,0.02,-0.42
2006 mai,0.1,0.27,0.13,0.38,0.38
2006 jun,-0.21,-0.15,-0.07,0.67,0.75
2006 jul,0.19,-0.02,0.11,0.17,0.18
2006 ago,0.05,0.19,-0.02,0.41,0.37
2006 set,0.21,0.05,0.16,0.24,0.29
2006 out,0.33,0.29,0.43,0.81,0.47
2006 nov,0.31,0.37,0.42,0.57,0.75
2006 dez,0.48,0.35,0.62,0.26,0.32
2007 jan,0.44,0.52,0.49,0.43,0.5
2007 fev,0.44,0.46,0.42,0.23,0.27
2007 mar,0.37,0.41,0.44,0.22,0.34
2007 abr,0.25,0.22,0.26,0.14,0.04
2007 mai,0.28,0.26,0.26,0.16,0.04
2007 jun,0.28,0.29,0.31,0.26,0.26
2007 jul,0.24,0.24,0.32,0.37,0.28
2007 ago,0.47,0.42,0.59,1.39,0.98
2007 set,0.18,0.29,0.25,1.17,1.29
2007 out,0.3,0.24,0.3,0.75,1.05
2007 nov,0.38,0.23,0.43,1.05,0.69
2007 dez,0.74,0.7,0.97,1.47,1.76
2008 jan,0.54,0.7,0.69,0.99,1.09
2008 fev,0.49,0.64,0.48,0.38,0.53
2008 mar,0.48,0.23,0.51,0.7,0.74
2008 abr,0.55,0.59,0.64,1.12,0.69
2008 mai,0.79,0.56,0.96,1.88,1.61
2008 jun,0.74,0.9,0.91,1.89,1.98
2008 jul,0.53,0.63,0.58,1.12,1.76
2008 ago,0.28,0.35,0.21,-0.38,-0.32
2008 set,0.26,0.26,0.15,0.36,0.11
2008 out,0.45,0.3,0.5,1.09,0.98
2008 nov,0.36,0.49,0.38,0.07,0.38
2008 dez,0.28,0.29,0.29,-0.44,-0.13
2009 jan,0.48,0.4,0.64,0.01,-0.44
2009 fev,0.55,0.63,0.31,-0.13,0.26
2009 mar,0.2,0.11,0.2,-0.84,-0.74
2009 abr,0.48,0.36,0.55,0.04,-0.15
2009 mai,0.47,0.59,0.6,0.18,-0.07
2009 jun,0.36,0.38,0.42,-0.32,-0.1
2009 jul,0.24,0.22,0.23,-0.64,-0.43
2009 ago,0.15,0.23,0.08,0.09,-0.36
2009 set,0.24,0.19,0.16,0.25,0.42
