mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação,1.Alimentação e bebidas_acum12m,2.Habitação_acum12m,3.Artigos de residência_acum12m,4.Vestuário_acum12m,5.Transportes_acum12m,6.Saúde e cuidados pessoais_acum12m,7.Despesas pessoais_acum12m,8.Educação_acum12m,9.Comunicação_acum12m
2020 jan,0.45,0.45,-0.07,-0.46,0.43,-0.76,0.3,0.17,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 fev,0.13,-0.41,-0.1,-0.63,-0.18,0.91,0.18,3.48,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 mar,1.12,0.12,-1.07,0.14,-0.41,0.2,-0.29,0.63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 abr,1.91,-0.14,-1.57,-0.1,-2.52,-0.24,-0.18,-0.03,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 mai,0.4,-0.29,0.54,-0.67,-1.44,-0.16,-0.01,0,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 jun,0.37,0.1,1.27,-0.51,0.6,0.07,-0.05,0.04,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 jul,0.14,0.94,0.84,-0.58,0.84,0.46,0.11,-0.16,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 ago,0.8,0.39,0.59,-0.75,0.77,0.54,0.19,-3.73,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 set,2.63,0.46,0.97,0.36,0.69,-0.21,0.16,-0.09,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 out,2.11,0.38,1.35,1.16,0.68,0.48,0.14,-0.01,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 nov,2.65,0.46,0.79,-0.02,1.1,-0.17,-0.06,0.03,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 dez,1.86,3.12,1.7,0.71,1.01,0.54,0.77,0.46,0.31,15.525805831660877,5.67714404043782,5.312206757636084,-1.361753358482265,1.5126409801265561,1.6605024022678716,1.263271405737032,0.6582685731817639,3.5803351722168975
2021 jan,1.01,-1.15,0.99,-0.12,0.64,0.22,0.48,0.11,0.01,16.16985213594888,3.9938844041541133,6.429298113215953,-1.0248334884991772,1.7249047917946347,2.664404985442226,1.4450001081600883,0.5979761092265834,3.4975454148607366
2021 fev,0.17,0.52,0.76,0.18,2.23,0.73,0.25,2.71,-0.13,16.21625974690901,4.965009140531884,7.345506285161552,-0.2180519158483274,4.180895781057559,2.4812755344722603,1.5158840171995314,-0.1505786028347167,3.1772795027165346
2021 mar,0.07,0.86,0.64,0.16,3.54,-0.14,0.14,-0.43,-0.11,15.009504676356622,5.740819236057182,9.200967881721,-0.19812342611711387,8.31298272086254,2.1335346793652787,1.9536719033433014,-1.2023562703393886,3.063784495263544
2021 abr,0.49,0.35,0.63,0.53,-0.08,1.34,0.1,0.06,0.09,13.406977970042956,6.2596756492923955,11.641708807656048,0.4312577775019699,11.02414067981725,3.7511267482646105,2.2396569577706193,-1.1134117076138872,3.4150796003100448
2021 mai,0.53,1.91,1.31,0.81,1.48,0.64,0.26,0.1,0.2,13.553819674585842,8.60418759822874,12.496732835723435,1.9276663299101493,14.313411081451433,4.582465904901345,2.515731639024721,-1.0145251193215077,3.3325785395997842
2021 jun,0.47,1.12,1.15,1.15,0.5,0.51,0.34,0.08,-0.12,13.66695489394878,9.710843655673251,12.36342970606723,3.628339021714866,14.199779460098094,5.042306866210011,2.915742998096449,-0.9749467607126916,2.460616941678029
2021 jul,0.66,3.17,0.64,0.5,1.27,-0.45,0.54,0.13,0.13,14.257196720839648,12.134612046322646,12.140574827633932,4.7540542313653456,14.686747976240898,4.090798810782492,3.3577944364061363,-0.687313893731567,2.1748986591994868
2021 ago,1.29,0.69,1.04,1.03,1.43,-0.15,0.69,0.32,0.22,14.81261364934372,12.469709004325402,12.642247545323904,6.632766740502172,15.437896667957872,3.3764298911540758,3.873603371611267,3.4906894170650293,1.2354754683635338
2021 set,0.94,2.83,1,0.5,1.4,0.65,0.58,0.04,0.03,12.922003524941594,15.12303580444736,12.6757155796545,6.781517112599311,16.251889185926395,4.267338095447015,4.309175590222236,3.62534850648768,1.1141748487309533
2021 out,1.1,1.14,1.32,1.76,1.99,0.47,0.87,0.07,0.42,11.805058822559932,15.99465870952188,12.642363123143486,7.414859444227995,17.764503159243496,4.256961170875417,5.069568022625481,3.7082570761498346,1.4171537985373517
2021 nov,-0.03,1.02,1.07,0.95,3.18,-1.18,0.52,-0.01,0.12,8.886037316038164,16.641254457852874,12.955289620558696,8.45699200734964,20.18735347152072,3.2021727226876573,5.6793373787704216,3.666786214577855,1.174625730465939
2021 dez,0.76,0.64,1.5,2.1,0.27,1.21,0.59,0.09,0.43,7.710162183035618,13.836073008517413,12.733155324353085,9.953916035650856,19.306860039494932,3.889913479841023,5.490568094973858,3.2849754351691907,1.2956600748748048
2022 jan,1.08,0.17,1.86,1.19,0.19,0.67,0.88,0.23,0.85,7.78480540007167,15.356190523653911,13.704319252783481,11.396042887940627,18.773393356090985,4.356391838112095,5.9105146240143736,3.4087812193287936,2.14645853965727
2022 fev,1.25,0.47,1.84,0.9,0.51,0.91,0.7,5.41,0.29,8.94690572783523,15.298810802939776,14.923063444853813,12.196653297995685,16.775053958923092,4.542872037961798,6.385923417837858,6.127150504619316,2.5760321111667928
2022 mar,2.39,1.24,0.58,1.78,3.01,1.29,0.61,0.19,-0.08,11.472705880614065,15.733210447051583,14.854548104962205,14.01133558975638,16.177306435277817,6.039930990638398,6.88523821718261,6.787980406325289,2.6068388081668337
2022 abr,2.26,-1.2,1.5,1.36,1.56,1.94,0.51,0.09,0.08,13.436151889258596,13.94560231358939,15.847526907022402,14.95264075776095,18.084139727450133,6.667757698694277,7.323029902188072,6.819997590136895,2.596587350597823
2022 mai,0.63,-1.65,0.61,2.05,1.11,1.24,0.54,0.1,0.77,13.54898999916534,9.965165219718553,15.047080072209273,16.36660042981355,17.653600392614166,7.303694250951986,7.62275510039887,6.819997590136895,3.1802206319335724
2022 jun,0.78,0.53,0.64,1.63,0.42,0.87,0.41,0.14,0.09,13.899345198724822,9.323556759674712,14.467010760920807,16.918809705209583,17.55994578533646,7.688027450935486,7.697835754744364,6.884038356078248,3.397159421808471
2022 jul,1.31,-0.83,0.2,0.65,-4.44,0.27,1.05,0.1,0.07,14.63483669861727,5.08497745329981,13.966558806083729,17.093315391336784,10.93145471755459,8.466886112559502,8.244144649064221,6.8520147752265,3.335201671231114
2022 ago,0.26,-0.07,0.39,1.64,-3.24,1.6,0.49,0.65,-1.05,13.469135427025059,4.291804517908937,13.233401014872781,17.80030264649579,5.823992492069241,10.367908152589344,8.029139892585802,7.203501665934464,2.0257254576762973
2022 set,-0.51,0.72,-0.07,1.81,-2.09,0.49,0.89,0.11,-2.48,11.839154781402028,2.1518093070484134,12.033799637784526,19.335809079002363,2.181726872766254,10.192459913101871,8.362099063064022,7.27851411212217,-0.5343522280056634
2022 out,0.6,0.4,0.32,1.31,-0.01,1.35,0.52,0.16,-0.7,11.286043234510835,1.4044063123161976,10.928057438438055,18.808085866683676,0.17796715371996008,11.157617320522295,7.986102883108925,7.374997236635927,-1.6437081880199433
2022 nov,0.55,0.43,-0.63,1.09,0.93,-0.4,0.24,0.07,-0.29,11.93169598109498,0.8121612150654878,9.062244658727515,18.97285190949034,-2.0065688619407385,12.03499984946388,7.685305939144826,7.460905825284092,-2.046485651492902
2022 dez,0.74,0.26,0.59,1.53,0.13,2.08,0.75,0.21,0.44,11.909478494794644,0.4315111627828383,8.084445223856163,18.30865479305148,-2.1433902477921984,12.99805142410111,7.8565918418216585,7.58974295885424,-2.0367322397286336
