mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação
2020 jan,0.45,0.45,-0.07,-0.46,0.43,-0.76,0.3,0.17,0.09
2020 fev,0.13,-0.41,-0.1,-0.63,-0.18,0.91,0.18,3.48,0.18
2020 mar,1.12,0.12,-1.07,0.14,-0.41,0.2,-0.29,0.63,0
2020 abr,1.91,-0.14,-1.57,-0.1,-2.52,-0.24,-0.18,-0.03,-0.25
2020 mai,0.4,-0.29,0.54,-0.67,-1.44,-0.16,-0.01,0,0.28
2020 jun,0.37,0.1,1.27,-0.51,0.6,0.07,-0.05,0.04,0.73
2020 jul,0.14,0.94,0.84,-0.58,0.84,0.46,0.11,-0.16,0.41
2020 ago,0.8,0.39,0.59,-0.75,0.77,0.54,0.19,-3.73,1.15
2020 set,2.63,0.46,0.97,0.36,0.69,-0.21,0.16,-0.09,0.15
2020 out,2.11,0.38,1.35,1.16,0.68,0.48,0.14,-0.01,0.12
2020 nov,2.65,0.46,0.79,-0.02,1.1,-0.17,-0.06,0.03,0.36
2020 dez,1.86,3.12,1.7,0.71,1.01,0.54,0.77,0.46,0.31
2021 jan,1.01,-1.15,0.99,-0.12,0.64,0.22,0.48,0.11,0.01
2021 fev,0.17,0.52,0.76,0.18,2.23,0.73,0.25,2.71,-0.13
2021 mar,0.07,0.86,0.64,0.16,3.54,-0.14,0.14,-0.43,-0.11
2021 abr,0.49,0.35,0.63,0.53,-0.08,1.34,0.1,0.06,0.09
2021 mai,0.53,1.91,1.31,0.81,1.48,0.64,0.26,0.1,0.2
2021 jun,0.47,1.12,1.15,1.15,0.5,0.51,0.34,0.08,-0.12
2021 jul,0.66,3.17,0.64,0.5,1.27,-0.45,0.54,0.13,0.13
2021 ago,1.29,0.69,1.04,1.03,1.43,-0.15,0.69,0.32,0.22
2021 set,0.94,2.83,1,0.5,1.4,0.65,0.58,0.04,0.03
2021 out,1.1,1.14,1.32,1.76,1.99,0.47,0.87,0.07,0.42
2021 nov,-0.03,1.02,1.07,0.95,3.18,-1.18,0.52,-0.01,0.12
2021 dez,0.76,0.64,1.5,2.1,0.27,1.21,0.59,0.09,0.43
2022 jan,1.08,0.17,1.86,1.19,0.19,0.67,0.88,0.23,0.85
2022 fev,1.25,0.47,1.84,0.9,0.51,0.91,0.7,5.41,0.29
2022 mar,2.39,1.24,0.58,1.78,3.01,1.29,0.61,0.19,-0.08
2022 abr,2.26,-1.2,1.5,1.36,1.56,1.94,0.51,0.09,0.08
2022 mai,0.63,-1.65,0.61,2.05,1.11,1.24,0.54,0.1,0.77
2022 jun,0.78,0.53,0.64,1.63,0.42,0.87,0.41,0.14,0.09
2022 jul,1.31,-0.83,0.2,0.65,-4.44,0.27,1.05,0.1,0.07
2022 ago,0.26,-0.07,0.39,1.64,-3.24,1.6,0.49,0.65,-1.05
2022 set,-0.51,0.72,-0.07,1.81,-2.09,0.49,0.89,0.11,-2.48
2022 out,0.6,0.4,0.32,1.31,-0.01,1.35,0.52,0.16,-0.7
2022 nov,0.55,0.43,-0.63,1.09,0.93,-0.4,0.24,0.07,-0.29
2022 dez,0.74,0.26,0.59,1.53,0.13,2.08,0.75,0.21,0.44
2023 jan,0.52,0.19,0.71,-0.27,0.65,-0.24,0.81,0.41,2.07
2023 fev,0.04,0.9,0.13,-0.17,0.6,1.61,0.37,5.9,0.87
2023 mar,-0.07,0.54,-0.27,0.24,2.23,0.72,0.29,0.14,0.44
2023 abr,0.61,0.46,0.17,0.75,0.41,1.3,0.16,0.12,0.06
2023 mai,0.16,0.78,-0.23,0.52,-0.14,1.02,0.88,0.06,0.24
2023 jun,-0.66,0.51,-0.34,0.31,-0.34,0.15,0.35,0.07,-0.16
2023 jul,-0.59,-1.16,0.04,-0.24,1.17,0.1,0.35,0.18,-0.02
2023 ago,-0.91,1.22,-0.07,0.55,0.37,0.57,0.29,0.73,-0.11
2023 set,-0.74,0.44,-0.57,0.38,1.07,-0.16,0.41,0.03,-0.14
2023 out,0.23,0.01,0.28,0.51,-0.05,0.23,0.21,0.06,-0.23
2023 nov,0.57,0.42,-0.5,-0.33,-0.3,-0.23,0.55,0.04,-0.52
2023 dez,1.2,0.34,0.64,0.7,0.24,0.27,0.56,0.22,0.11
2024 jan,1.51,0.16,0.24,0.12,-0.1,0.81,0.99,0.44,-0.1
2024 fev,0.95,0.31,0,-0.44,1.04,0.62,0.12,4.73,1.37
2024 mar,0.5,0.15,0,0.08,-0.08,0.32,0.29,0.14,-0.18
2024 abr,0.57,-0.12,-0.06,0.51,0.32,1.08,0.07,0.09,0.53
2024 mai,0.64,0.62,-0.5,0.49,0.36,0.77,0.24,0.1,0.18
2024 jun,0.44,0.29,0.18,0.05,0,0.54,0.28,0.05,-0.12
2024 jul,-0.95,0.75,0.46,0.01,1.36,0.18,0.65,0.07,0.19
2024 ago,-0.63,-0.6,0.6,0.26,0.05,0.14,0.2,0.67,0.1
2024 set,0.49,1.93,-0.2,0.16,0.03,0.49,-0.39,0.05,-0.06
2024 out,1.11,1.61,0.39,0.4,-0.45,0.31,0.71,0.07,0.43
2024 nov,1.62,-1.64,-0.38,-0.11,0.66,-0.17,1.82,0.03,-0.09
2024 dez,1.12,-0.59,0.67,1.13,0.54,0.24,0.77,0.13,0.42
2025 jan,0.99,-3.46,-0.06,-0.11,1.13,0.78,0.49,0.3,-0.17
2025 fev,0.75,4.79,0.44,-0.07,1.11,0.54,0.09,4.45,0.17
2025 mar,1.08,0.21,0.21,0.46,0.26,0.44,0.7,0.08,0.19
2025 abr,0.76,0.12,0.49,0.86,-0.15,1.24,0.64,0.09,0.63
2025 mai,0.26,1.33,-0.25,0.33,-0.19,0.52,0.34,0.04,0.1
2025 jun,-0.19,1.05,0.09,0.74,0.28,-0.17,0.23,0,0.11
2025 jul,-0.38,0.86,0.14,-0.52,0.19,0.57,0.97,0.06,-0.11
2025 ago,-0.54,-1.04,-0.07,0.77,-0.25,0.53,0.31,0.7,-0.16
2025 set,-0.33,3.28,-0.45,0.6,0.02,0.03,0.33,0.08,-0.22
2025 out,0,-0.32,-0.31,0.47,0.05,0.45,0.33,0.06,-0.26
2025 nov,-0.06,0.51,-1.11,0.44,-0.07,-0.32,0.51,-0.01,-0.24
2025 dez,0.28,-0.5,0.7,0.53,0.23,0.48,0.55,0.06,0.45
2026 jan,0.14,-0.19,0.27,-0.46,1.18,0.84,0.46,-0.02,0.91
2026 fev,0.26,0.35,0.16,0.07,0.44,0.7,0.32,4.89,0.21
2026 mar,1.65,0.23,0.55,0.44,1.61,0.43,0.63,0.01,0.11
2026 abr,1.37,0.77,0.59,0.52,0.37,1.31,0.37,0.06,0.64
2026 mai,1.33,1.28,0.03,0.62,-0.54,1.11,0.38,-0.01,0.2
2026 jun,-0.29,0.67,0.25,0.15,0.1,0.22,0.27,0.02,0.23
2026 jul,-0.74,0.95,0.11,-0.53,-0.19,0.46,0.18,-0.02,0.07
