mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação,1.Alimentação e bebidas_acum12m,2.Habitação_acum12m,3.Artigos de residência_acum12m,4.Vestuário_acum12m,5.Transportes_acum12m,6.Saúde e cuidados pessoais_acum12m,7.Despesas pessoais_acum12m,8.Educação_acum12m,9.Comunicação_acum12m
2020 fev,-0.1,0.07,0.17,-0.83,0.2,-0.29,0.31,3.61,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 mar,0.35,-0.28,-0.05,-0.22,-0.8,0.84,0.03,0.61,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 abr,2.46,0.12,-3.19,0.01,-1.47,-0.32,-0.28,-0.01,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 mai,0.46,-0.27,0.45,-0.2,-3.15,-0.13,-0.09,0.01,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 jun,0.47,-0.07,1.36,-0.15,-0.71,-0.01,-0.03,0.03,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 jul,-0.13,0.5,0.68,-0.91,1.11,0.4,-0.23,-0.07,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 ago,0.34,0.57,0.88,-0.63,0.75,0.62,0.03,-3.27,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 set,1.48,0.34,0.79,-0.27,0.83,-0.69,0.09,-0.11,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 out,2.24,0.4,1.41,0.84,1.34,0.28,0.14,-0.02,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 nov,2.16,0.34,1.4,0.96,1,0.04,0.14,0.01,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 dez,2,1.5,1.35,-0.44,1.43,0.03,0.39,0.34,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021 jan,1.53,1.44,0.81,0.85,0.14,0.66,0.4,0.11,-0.01,14.038811057510813,4.741892813919857,6.137551945489905,-1.0080778194570095,0.5676335516829445,1.427894848924871,0.9010513795811637,1.1254094930458702,3.1799249447440614
2021 fev,0.56,-0.74,1.01,0,1.11,0.46,0.15,2.39,-0.09,14.79222062005292,3.8940769532296082,7.027594309812679,-0.17956823581427583,1.4809723394277663,2.190816533176143,0.7401086199287477,-0.06533463958144914,3.0664497223493292
2021 mar,0.12,0.71,0.55,0.03,3.79,0.24,0.1,-0.51,0.02,14.529119367012445,4.925516345364578,7.670081119076189,0.07053306646118696,6.176513297471864,1.5827791480124587,0.810605546884613,-1.1778167507400683,2.7479946300147384
2021 abr,0.36,0.45,0.55,0.17,1.76,0.44,0.05,0,-0.04,12.18175307118261,5.271355542267986,11.829631820298637,0.23062990968321095,9.657180484631468,2.3572866936834913,1.1442146506799533,-1.1679335440944794,3.0159432619485838
2021 mai,0.48,0.79,0.89,1.42,-0.23,1.23,0.09,0.08,0.03,12.20408668716333,6.390252933973639,12.319477892980867,1.8576200945898957,12.963313339717919,3.7511578251885336,1.3264382382800033,-1.0987580151282428,2.820642631138659
2021 jun,0.41,1.67,1.38,0.88,1.35,0.53,0.32,0.03,0.15,12.13707917047946,8.242740076024212,12.34164037875296,2.9083296458911168,15.30699775385651,4.311470108672921,1.681187196801548,-1.0987580151282428,2.2996956040983285
2021 jul,0.49,2.14,0.81,0.58,1.07,-0.24,0.36,0.12,-0.04,12.833234062696297,10.009089267314565,12.486698118614292,4.455745239516884,15.261381297421362,3.6465364346734086,2.2824891958605154,-0.9107140245635859,1.7905392453281932
2021 ago,1.02,1.97,1.05,0.94,1.11,-0.29,0.68,0.3,0.19,13.597900189491519,11.540487546863542,12.676257383881605,6.1060976600265215,15.673233379476681,2.7091646581324236,2.9471259845969877,2.7463597987829047,1.1143577928756088
2021 set,1.27,1.55,1.23,0.54,2.22,0.33,0.48,-0.01,0.02,13.362823730683937,12.885554219493645,13.168146988494222,6.967883873850056,17.267855956065723,3.7640770330322093,3.348258756442246,2.849219304037476,0.9831060054260377
2021 out,1.38,1.87,0.53,1.32,2.06,-0.01,0.77,0.09,0.34,12.409263202432896,14.538360640834846,12.18611396068756,7.47705269831902,18.101020119163856,3.4640014213491277,3.9984425293257964,2.9623760766264162,1.0939325210460815
2021 nov,0.4,1.06,1.53,1.59,2.89,0.8,0.61,0.01,0.32,10.472690148044839,15.360242439333938,12.329942311919218,8.147719726844581,20.31102930753237,4.2500134273489865,4.4865518561560735,2.9623760766264162,1.3566191336332745
2021 dez,0.35,0.9,1.19,1.1,2.31,-0.73,0.51,0,0.15,8.685631925061777,14.678309971712267,12.152608411870801,9.820555086219219,21.354839874333376,3.4579509440461287,4.611448621000558,2.6134902099127055,1.0438523415625456
2022 jan,0.97,0.62,1.4,1.48,-0.41,0.93,0.63,0.25,1.09,8.086164241834792,13.7512968193384,12.808992093678206,10.506593258795505,20.68832138091532,3.7354558790242187,4.8510963618654035,2.756991245067897,2.155445876673223
2022 fev,1.2,0.15,1.94,1.11,0.87,-0.02,0.78,5.64,0.27,8.774063457375503,14.771230873027829,13.847625522518126,11.733216443968143,20.40184925025148,3.2398056817125376,5.5106689101227735,6.018640053999147,2.5235367636275097
