mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação
2020 fev,-0.1,0.07,0.17,-0.83,0.2,-0.29,0.31,3.61,0.02
2020 mar,0.35,-0.28,-0.05,-0.22,-0.8,0.84,0.03,0.61,0.33
2020 abr,2.46,0.12,-3.19,0.01,-1.47,-0.32,-0.28,-0.01,-0.3
2020 mai,0.46,-0.27,0.45,-0.2,-3.15,-0.13,-0.09,0.01,0.22
2020 jun,0.47,-0.07,1.36,-0.15,-0.71,-0.01,-0.03,0.03,0.66
2020 jul,-0.13,0.5,0.68,-0.91,1.11,0.4,-0.23,-0.07,0.46
2020 ago,0.34,0.57,0.88,-0.63,0.75,0.62,0.03,-3.27,0.86
2020 set,1.48,0.34,0.79,-0.27,0.83,-0.69,0.09,-0.11,0.15
2020 out,2.24,0.4,1.41,0.84,1.34,0.28,0.14,-0.02,0.23
2020 nov,2.16,0.34,1.4,0.96,1,0.04,0.14,0.01,0.06
2020 dez,2,1.5,1.35,-0.44,1.43,0.03,0.39,0.34,0.46
2021 jan,1.53,1.44,0.81,0.85,0.14,0.66,0.4,0.11,-0.01
2021 fev,0.56,-0.74,1.01,0,1.11,0.46,0.15,2.39,-0.09
2021 mar,0.12,0.71,0.55,0.03,3.79,0.24,0.1,-0.51,0.02
2021 abr,0.36,0.45,0.55,0.17,1.76,0.44,0.05,0,-0.04
2021 mai,0.48,0.79,0.89,1.42,-0.23,1.23,0.09,0.08,0.03
2021 jun,0.41,1.67,1.38,0.88,1.35,0.53,0.32,0.03,0.15
2021 jul,0.49,2.14,0.81,0.58,1.07,-0.24,0.36,0.12,-0.04
2021 ago,1.02,1.97,1.05,0.94,1.11,-0.29,0.68,0.3,0.19
2021 set,1.27,1.55,1.23,0.54,2.22,0.33,0.48,-0.01,0.02
2021 out,1.38,1.87,0.53,1.32,2.06,-0.01,0.77,0.09,0.34
2021 nov,0.4,1.06,1.53,1.59,2.89,0.8,0.61,0.01,0.32
2021 dez,0.35,0.9,1.19,1.1,2.31,-0.73,0.51,0,0.15
2022 jan,0.97,0.62,1.4,1.48,-0.41,0.93,0.63,0.25,1.09
2022 fev,1.2,0.15,1.94,1.11,0.87,-0.02,0.78,5.64,0.27
2022 mar,1.95,0.53,1.47,0.95,0.68,1.3,0.44,0.14,0.04
2022 abr,2.25,1.73,0.94,1.97,3.43,0.47,0.52,0.05,-0.05
2022 mai,1.52,-3.85,0.98,1.86,1.8,2.19,0.74,0.06,0.5
2022 jun,0.25,0.66,0.94,1.77,0.84,1.27,0.54,0.07,0.36
2022 jul,1.16,-0.78,0.39,1.39,-1.08,0.71,0.79,0.07,-0.05
2022 ago,1.12,-0.37,0.08,0.76,-5.24,0.81,0.81,0.61,-0.3
2022 set,-0.47,0.47,0.24,1.66,-2.35,0.94,0.83,0.12,-2.74
2022 out,0.21,0.28,-0.35,1.43,-0.64,0.8,0.57,0.19,-0.42
2022 nov,0.54,0.48,0.54,1.48,0.49,0.91,0.27,0.05,0
2022 dez,0.69,0.4,-0.46,1.16,0.85,0.4,0.39,0,0.18
2023 jan,0.55,0.17,0.38,0.42,0.17,1.1,0.57,0.36,2.36
2023 fev,0.39,0.63,0.71,-0.05,0.08,0.55,0.63,6.41,0.78
2023 mar,0.2,0.81,-0.18,0.11,1.5,1.18,0.28,0.08,0.75
2023 abr,0.04,0.48,0.07,0.39,1.44,1.04,0.28,0.11,0.06
2023 mai,0.94,0.43,-0.28,0.35,-0.04,1.49,0.4,0.07,0.02
2023 jun,-0.51,0.96,-0.01,0.79,-0.55,0.19,0.52,0.04,0.11
2023 jul,-0.4,-0.94,-0.4,0.04,0.63,0.07,0.38,0.11,-0.17
2023 ago,-0.65,1.08,0.01,-0.03,0.23,0.81,0.6,0.71,0.04
2023 set,-0.77,0.3,-0.47,0.41,2.02,0.17,0.35,0.05,-0.15
2023 out,-0.31,0.26,0.05,0.33,0.78,0.28,0.31,0.07,-0.29
2023 nov,0.82,0.2,0.24,0.55,0.18,0.08,0.52,0.03,-0.22
2023 dez,0.54,0.48,-0.15,0.03,0.77,0.14,0.56,0.05,-0.46
2024 jan,1.53,0.33,0.26,0.22,-1.13,0.56,0.56,0.39,-0.03
2024 fev,0.97,0.14,0.45,-0.39,0.15,0.76,0.46,5.07,1.67
2024 mar,0.91,0.19,-0.58,-0.22,0.43,0.61,-0.07,0.14,-0.04
2024 abr,0.61,0.07,0.03,0.41,-0.49,0.78,0.4,0.05,0.17
2024 mai,0.26,0.25,-0.44,0.66,0.77,1.07,0.18,0.11,0.18
2024 jun,0.98,0.63,-0.01,0.3,-0.23,0.57,0.25,0.05,0.17
2024 jul,-0.44,0.49,0.24,-0.08,1.12,0.33,0.32,0.06,0.09
2024 ago,-0.8,0.18,0.71,0.09,0.83,0.27,0.43,0.75,0.09
2024 set,0.05,0.5,0.17,0.12,-0.08,0.32,-0.04,0.05,0.07
2024 out,0.87,1.72,0.41,0.43,-0.33,0.49,0.35,0.05,0.4
2024 nov,1.34,0.22,0.11,0.36,0.82,0.18,0.83,-0.01,0.11
2024 dez,1.47,-1.32,-0.52,0.34,0.46,-0.05,1.36,0,0.08
2025 jan,1.06,-3.43,0.72,0.46,1.01,0.64,0.4,0.25,0.15
2025 fev,0.61,4.34,0.38,-0.08,0.44,0.54,0.01,4.78,-0.06
2025 mar,1.09,0.37,0.03,0.28,0.92,0.35,0.81,0.07,0.32
2025 abr,1.14,0.09,0.37,0.76,-0.44,0.96,0.53,0.06,0.52
2025 mai,0.39,0.67,-0.07,0.92,-0.29,0.91,0.5,0.09,0.27
2025 jun,-0.02,1.08,0.11,0.51,0.06,0.29,0.19,-0.02,0.02
2025 jul,-0.06,0.98,-0.02,-0.1,0.67,0.21,0.25,0,0.11
2025 ago,-0.53,-1.13,0.03,0.17,-0.47,0.64,1.09,0.78,-0.17
2025 set,-0.35,3.31,-0.16,0.97,-0.25,0.36,0.2,0.03,-0.08
2025 out,-0.02,0.16,-0.64,0.45,0.41,0.24,0.42,0.09,-0.09
2025 nov,0.09,0.09,-0.2,0.19,0.22,0.29,0.85,0.05,-0.19
2025 dez,0.13,0.17,-0.64,0.69,0.69,-0.01,0.46,0,0.01
2026 jan,0.31,-0.26,0.43,0.28,-0.13,0.81,0.28,0.05,0.73
2026 fev,0.2,0.06,0.21,-0.42,1.72,0.67,0.2,5.2,0.39
2026 mar,0.88,0.24,0.37,0.47,0.21,0.36,0.82,0.05,0.03
2026 abr,1.46,0.42,0.48,0.76,1.34,0.93,0.32,0.05,0.48
2026 mai,1.38,1.03,0.21,0.36,-0.33,1.05,0.5,0.01,0.36
2026 jun,0.74,0.72,0.36,0.45,-0.03,0.47,0.34,-0.02,0.34
2026 jul,-0.66,0.97,0.19,-0.33,0.11,0.28,0.08,-0.04,-0.02
