mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação,1.Alimentação e bebidas_acum12m,2.Habitação_acum12m,3.Artigos de residência_acum12m,4.Vestuário_acum12m,5.Transportes_acum12m,6.Saúde e cuidados pessoais_acum12m,7.Despesas pessoais_acum12m,8.Educação_acum12m,9.Comunicação_acum12m
2020 jan,0.39,0.55,-0.07,-0.48,0.32,-0.32,0.35,0.16,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 fev,0.11,-0.39,-0.08,-0.73,-0.23,0.73,0.31,3.7,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 mar,1.13,0.13,-1.08,0.21,-0.9,0.21,-0.23,0.59,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 abr,1.79,-0.1,-1.37,0.1,-2.66,-0.22,-0.14,0,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 mai,0.24,-0.25,0.58,-0.58,-1.9,-0.1,-0.04,0.02,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 jun,0.38,0.04,1.3,-0.46,0.31,0.35,-0.05,0.05,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 jul,0.01,0.8,0.9,-0.52,0.78,0.44,-0.11,-0.12,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 ago,0.78,0.36,0.56,-0.78,0.82,0.5,-0.01,-3.47,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 set,2.28,0.37,1,0.37,0.7,-0.64,0.09,-0.09,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 out,1.93,0.36,1.53,1.11,1.19,0.28,0.19,-0.04,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 nov,2.54,0.44,0.86,0.07,1.33,-0.13,0.01,-0.02,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020 dez,1.74,2.88,1.76,0.59,1.36,0.4,0.65,0.48,0.39,14.113455828778942,5.27487344378359,5.9963189344867995,-1.113577388270337,1.0318924667840346,1.5013285238551166,1.0213204661040143,1.1348020342093257,3.4288469563892754
2021 jan,1.02,-1.07,0.86,-0.07,0.41,0.32,0.39,0.13,0.02,14.829577725104581,3.578749177459062,6.982775219977366,-0.7061875845041699,1.122531126293702,2.1530224469617387,1.0615880577197867,1.1045100607565805,3.325542075290211
2021 fev,0.27,0.4,0.66,0.38,2.28,0.62,0.17,2.48,-0.13,15.01310317147373,4.400225051871187,7.775081601710565,0.404078677016928,3.6665579191873077,2.0414684663286886,0.920539086250538,-0.08495476348759912,2.9749714305880914
2021 mar,0.13,0.81,0.69,0.29,3.81,-0.02,0.04,-0.52,-0.07,13.87582340116349,5.109224882444163,9.703527764620269,0.4842336145896464,8.59359614117896,1.8072649163111798,1.193652703102166,-1.187506709133579,2.861744252885523
2021 abr,0.4,0.22,0.57,0.47,-0.08,1.19,0.01,0.04,0.08,12.32078464954136,5.445911088273814,11.861338206304994,0.8556538587194851,11.471873088417928,3.24591237604257,1.345655986753913,-1.1479817118172364,3.1503343169216658
2021 mai,0.44,1.78,1.25,0.92,1.15,0.76,0.21,0.06,0.21,12.544888369911543,7.591827875333412,12.606487307500291,2.3773142971431627,14.93761430064704,4.134716026126628,1.5991215129312675,-1.108448811082119,3.1194633070502853
2021 jun,0.43,1.1,1.09,1.21,0.41,0.51,0.29,0.05,-0.12,12.600947788306605,8.731845243864544,12.373048390081,4.094916415650585,15.052196709480302,4.3007504512804,1.9447313309842507,-1.108448811082119,2.2290024328355695
2021 jul,0.6,3.1,0.78,0.53,1.52,-0.65,0.45,0.18,0.12,13.265226952341202,11.212829807960635,12.23940353570232,5.19362632956728,15.89699354977614,3.1688526218111246,2.5162504975209554,-0.8114177202063089,1.832332340816789
2021 ago,1.39,0.68,0.99,1.02,1.46,-0.04,0.64,0.28,0.23,13.950797387357362,11.567434287220756,12.719345297042327,7.101996893901319,16.632701503276003,2.6145125181715523,3.1826727679818756,3.0418629547053655,1.3872521160233298
2021 set,1.02,2.56,0.9,0.31,1.82,0.39,0.56,-0.01,0.07,12.547023387473999,14.001754114749044,12.607741984867026,7.03797258570531,17.929907319399852,3.6782499164577542,3.667195259748812,3.1243707020417455,1.306263796809315
2021 out,1.17,1.04,1.27,1.8,2.62,0.39,0.75,0.06,0.54,11.707861827830325,14.774185290496632,12.319373887594631,7.768426557460173,19.596472864085502,3.7919775539807965,4.246630626007519,3.227536338998549,1.6398738861511664
2021 nov,-0.04,1.03,1.03,0.95,3.35,-0.57,0.57,0.02,0.09,8.897190055684788,15.448386498395816,12.508688715682004,8.716125322030631,21.980612558010826,3.334698389829871,4.8303533852372516,3.2688356133890206,1.4371819450081924
2021 dez,0.84,0.74,1.37,2.06,0.58,0.75,0.56,0.05,0.34,7.933876992483313,13.046952331341345,12.077493859165521,10.304878719221055,21.041929864687535,3.6949289121051887,4.7366153643264575,2.8269009068428774,1.3866603881075967
2022 jan,1.11,0.16,1.82,1.07,-0.11,0.36,0.78,0.25,1.05,8.030036653236872,14.452468872001912,13.144263580609095,11.563235186147036,20.415081906021683,3.7362745775406214,5.14350130906287,2.9501329862278824,2.4307341753476486
2022 fev,1.28,0.54,1.76,0.88,0.46,0.47,0.64,5.61,0.29,9.118201977060236,14.612063948118248,14.380690065197532,12.118939684982166,18.272380996078795,3.5816289684506675,5.636837094380409,6.094492044062516,2.861503258692455
2022 mar,2.42,1.15,0.57,1.82,3.02,0.88,0.59,0.15,-0.05,11.613764570962836,14.998613910843783,14.244373819216571,13.829399129772524,17.372321454734973,4.514050113395696,6.2176073902811435,6.809040794258769,2.8820899700421343
2022 abr,2.06,-1.14,1.53,1.26,1.91,1.77,0.48,0.06,0.08,13.459171435383134,13.438065967132484,15.334903787064324,14.724444668864,19.709900715092466,5.113102876176323,6.716780227731722,6.830394061110878,2.8820899700421343
2022 mai,0.48,-1.7,0.66,2.11,1.34,1.01,0.52,0.04,0.72,13.504356290594366,9.559460449686807,14.66282879215699,16.07722002712744,19.93476360323747,5.373903548258929,7.046908976066191,6.809040794258769,3.4056890707778287
2022 jun,0.8,0.41,0.55,1.67,0.57,1.24,0.49,0.09,0.16,13.922524286487214,8.811725259674109,14.050325799301477,16.604791622942837,20.1258756655472,6.13922987986999,7.260383717268848,6.851743059443871,3.69557286072395
2022 jul,1.3,-1.05,0.12,0.58,-4.51,0.49,1.13,0.06,0.07,14.715225747725192,4.431815853004406,13.3034195180201,16.662786645136674,12.990739433639686,7.357133473861421,7.986486862393227,6.723751352844398,3.6437872170659524
2022 ago,0.24,0.1,0.42,1.69,-3.37,1.31,0.54,0.61,-1.1,13.414086487345633,3.8302022932632296,12.66392106148706,17.436535081607097,7.611818957940097,8.80703473626352,7.879187094048246,7.074956358293538,2.2684880351972803
2022 set,-0.51,0.6,-0.13,1.77,-1.98,0.57,0.95,0.12,-2.08,11.696371655375337,1.8459277564574883,11.513833462940681,19.145809742350252,3.595663860315157,9.002126540751298,8.297572962849742,7.214167722695786,0.07125360654058888
2022 out,0.72,0.34,0.39,1.22,0.58,1.16,0.57,0.18,-0.48,11.199550787085144,1.1403443297995253,10.54481822202642,18.466982928494026,1.5362684766176082,9.838182297663135,8.104088465248616,7.342747576051001,-0.9439908601261315
2022 nov,0.53,0.51,-0.68,1.1,0.83,0.02,0.21,0.02,-0.14,11.833641863001908,0.6197763890740671,8.673773590138211,18.643011134925636,-0.9395070101852698,10.48994260698246,7.717119470046385,7.342747576051001,-1.1716148195843101
2022 dez,0.66,0.2,0.64,1.52,0.21,1.6,0.62,0.19,0.5,11.634018146864044,0.08042082772701242,7.891176621401885,18.015270335269975,-1.303917254828657,11.422115820043842,7.7813898277254046,7.492952320285373,-1.0140252079751333
2023 jan,0.59,0.33,0.7,-0.27,0.55,0.16,0.76,0.36,2.09,11.059894030195384,0.2502857592437291,6.7043948710977075,16.45060760400192,-0.6518057860949167,11.200070949936158,7.760000387394439,7.610899699389928,0.004731979394545505
2023 fev,0.16,0.82,0.11,-0.24,0.37,1.26,0.44,6.28,0.98,9.831743543289594,0.5294789163213798,4.974223374072251,15.157738050904367,-0.7408097426870985,12.07444196666203,7.54585094306337,8.293593599575422,0.6927693217595232
2023 mar,0.05,0.57,-0.27,0.31,2.11,0.82,0.38,0.1,0.5,7.29023571085845,-0.04696297959029261,4.097437576774632,13.449938164272425,-1.61758962168298,12.007783892534363,7.3213293335788965,8.239527901323008,1.2468565966666345
2023 abr,0.71,0.48,0.17,0.79,0.56,1.49,0.18,0.09,0.08,5.871052698810075,1.5909484099814408,2.7030466075594894,12.923358360428793,-2.9208597032326478,11.69961665769197,7.0009033901068385,8.271980288261238,1.2468565966666345
2023 mai,0.16,0.67,-0.23,0.47,-0.57,0.93,0.64,0.05,0.21,5.533883741170564,4.040292740924034,1.7949827144467578,11.109683816200967,-4.750553387531308,11.611150472832898,7.128640242542272,8.282803157142515,0.7341888359011284
2023 jun,-0.66,0.69,-0.42,0.35,-0.41,0.11,0.36,0.06,-0.14,4.0053175679353625,4.330416055010855,0.8129724386335857,9.6671266937717,-5.67870748597239,10.365391879052787,6.9900520921638565,8.25034752626317,0.43246902109710383
2023 jul,-0.46,-1.01,0.04,-0.24,1.5,0.26,0.38,0.13,0,2.198315011967278,4.372591058974473,0.7324187251388503,8.773041946417436,0.25773578567180877,10.112789230707842,6.196592791569322,8.326077331648317,0.36221547026793477
2023 ago,-0.85,1.11,-0.04,0.54,0.34,0.58,0.38,0.69,-0.09,1.0870204852010845,5.425701118610493,0.2709876096881114,7.5429406755119555,4.107018614657032,9.319359794932325,6.027590853568032,8.41221276735582,1.3871481055052426
2023 set,-0.71,0.47,-0.58,0.38,1.4,0.04,0.45,0.05,-0.11,0.8838100711188623,5.289465123129178,-0.1808191833864825,6.074092414344978,7.696915808265903,8.743251008104114,5.502441815164993,8.336415175528856,3.4269018000298246
2023 out,0.31,0.02,0.46,0.45,0.35,0.32,0.27,0.05,-0.19,0.4731432509326172,4.95368050244549,-0.11121720453238781,5.267166400127965,7.450641294089122,7.840282138523169,5.1877283564342624,8.195830887519072,3.728286461625574
2023 nov,0.63,0.48,-0.42,-0.35,0.27,0.08,0.58,0.02,-0.5,0.5730866939356316,4.922354162627807,0.1502717556651767,3.7573999186226947,6.8538708971369156,7.904973369560064,5.576107355455129,8.195830887519072,3.3543411068670537
2023 dez,1.11,0.34,0.76,0.7,0.48,0.35,0.48,0.24,0.04,1.0226981484585007,5.068952262256232,0.26968781896685723,2.9193279334643663,7.14177175675399,6.577402338930649,5.429211559094904,8.2498262118466,2.881276461004778
2024 jan,1.38,0.25,0.22,0.14,-0.65,0.83,0.82,0.33,-0.08,1.816096414064261,4.985173570130419,-0.20826104054757488,3.3424395794356965,5.863103172884232,7.290330249943855,5.491991955021325,8.217467754429752,0.6944572826290241
2024 fev,0.95,0.27,-0.07,-0.44,0.72,0.65,0.05,4.98,1.56,2.6191586761160845,4.412451436986475,-0.38768880013905216,3.1352574631978714,6.232258160535009,6.644002959281536,5.0823754988040815,6.893768958035729,1.2728172076035271
2024 mar,0.53,0.19,-0.04,0.03,-0.33,0.43,0.33,0.14,-0.13,3.1114844748620696,4.017932877316044,-0.15796021720544395,2.847371189748582,3.6937535095536767,6.231474084513433,5.03003321174551,6.936483750826161,0.6379726818245501
2024 abr,0.7,-0.01,-0.26,0.55,0.14,1.16,0.1,0.05,0.48,3.101246019448012,3.510679820888063,-0.5865523815920093,2.6024722009050594,3.260665040241717,5.886056935554063,4.946160156675239,6.893747619843715,1.0402027884665266
2024 mai,0.62,0.67,-0.53,0.5,0.44,0.69,0.22,0.09,0.14,3.57475413814754,3.510679820888063,-0.8854802585642751,2.6331089498452975,4.309576552769556,5.634271998820339,4.508189297515819,6.936483750826161,0.96962286435524625
2024 jun,0.44,0.25,0.19,0.02,-0.19,0.54,0.29,0.06,-0.08,4.721645919423589,3.058353878677411,-0.2783316640445288,2.295600968246414,4.5400023670240985,6.088000267319904,4.435295980947185,6.936483750826161,1.030289571463805
2024 jul,-1,0.77,0.48,-0.02,1.82,0.22,0.52,0.08,0.18,4.1535357245623405,4.911509448977913,0.16026823667338874,2.5211927105580845,4.869586610939836,6.045675112615223,4.580951902817421,6.883084927421157,1.2121440926924354
2024 ago,-0.44,-0.51,0.74,0.39,0,0.25,0.25,0.73,0.1,4.584226089131893,3.2306010788133,0.941830954006373,2.368236882961283,4.514238201056253,5.697742394508598,4.445511339484409,6.925545185610638,1.4046203951407543
2024 set,0.5,1.8,-0.19,0.18,0.14,0.46,-0.31,0.05,-0.05,5.858744304136909,4.597145315250262,1.337800719366089,2.1642754625927463,3.215540566605246,6.141495411358799,3.6552814876376516,6.925545185610638,1.4655301681281152
2024 out,1.06,1.49,0.43,0.37,-0.38,0.38,0.7,0.04,0.52,6.650231276802665,6.134415897268042,1.307538584968504,2.0829101859674903,2.4646950796732847,6.20497716698758,4.0997990007490825,6.91485797469753,2.1873068079374836
