data,valor,indicador
2000-01-01,0.62,ipca
2000-02-01,0.13,ipca
2000-03-01,0.22,ipca
2000-04-01,0.42,ipca
2000-05-01,0.01,ipca
2000-06-01,0.23,ipca
2000-07-01,1.61,ipca
2000-08-01,1.31,ipca
2000-09-01,0.23,ipca
2000-10-01,0.14,ipca
2000-11-01,0.32,ipca
2000-12-01,0.59,ipca
2001-01-01,0.57,ipca
2001-02-01,0.46,ipca
2001-03-01,0.38,ipca
2001-04-01,0.58,ipca
2001-05-01,0.41,ipca
2001-06-01,0.52,ipca
2001-07-01,1.33,ipca
2001-08-01,0.7,ipca
2001-09-01,0.28,ipca
2001-10-01,0.83,ipca
2001-11-01,0.71,ipca
2001-12-01,0.65,ipca
2002-01-01,0.52,ipca
2002-02-01,0.36,ipca
2002-03-01,0.6,ipca
2002-04-01,0.8,ipca
2002-05-01,0.21,ipca
2002-06-01,0.42,ipca
2002-07-01,1.19,ipca
2002-08-01,0.65,ipca
2002-09-01,0.72,ipca
2002-10-01,1.31,ipca
2002-11-01,3.02,ipca
2002-12-01,2.1,ipca
2003-01-01,2.25,ipca
2003-02-01,1.57,ipca
2003-03-01,1.23,ipca
2003-04-01,0.97,ipca
2003-05-01,0.61,ipca
2003-06-01,-0.15,ipca
2003-07-01,0.2,ipca
2003-08-01,0.34,ipca
2003-09-01,0.78,ipca
2003-10-01,0.29,ipca
2003-11-01,0.34,ipca
2003-12-01,0.52,ipca
2004-01-01,0.76,ipca
2004-02-01,0.61,ipca
2004-03-01,0.47,ipca
2004-04-01,0.37,ipca
2004-05-01,0.51,ipca
2004-06-01,0.71,ipca
2004-07-01,0.91,ipca
2004-08-01,0.69,ipca
2004-09-01,0.33,ipca
2004-10-01,0.44,ipca
2004-11-01,0.69,ipca
2004-12-01,0.86,ipca
2005-01-01,0.58,ipca
2005-02-01,0.59,ipca
2005-03-01,0.61,ipca
2005-04-01,0.87,ipca
2005-05-01,0.49,ipca
2005-06-01,-0.02,ipca
2005-07-01,0.25,ipca
2005-08-01,0.17,ipca
2005-09-01,0.35,ipca
2005-10-01,0.75,ipca
2005-11-01,0.55,ipca
2005-12-01,0.36,ipca
2006-01-01,0.59,ipca
2006-02-01,0.41,ipca
2006-03-01,0.43,ipca
2006-04-01,0.21,ipca
2006-05-01,0.1,ipca
2006-06-01,-0.21,ipca
2006-07-01,0.19,ipca
2006-08-01,0.05,ipca
2006-09-01,0.21,ipca
2006-10-01,0.33,ipca
2006-11-01,0.31,ipca
2006-12-01,0.48,ipca
2007-01-01,0.44,ipca
2007-02-01,0.44,ipca
2007-03-01,0.37,ipca
2007-04-01,0.25,ipca
2007-05-01,0.28,ipca
2007-06-01,0.28,ipca
2007-07-01,0.24,ipca
2007-08-01,0.47,ipca
2007-09-01,0.18,ipca
2007-10-01,0.3,ipca
2007-11-01,0.38,ipca
2007-12-01,0.74,ipca
2008-01-01,0.54,ipca
2008-02-01,0.49,ipca
2008-03-01,0.48,ipca
2008-04-01,0.55,ipca
2008-05-01,0.79,ipca
2008-06-01,0.74,ipca
2008-07-01,0.53,ipca
2008-08-01,0.28,ipca
2008-09-01,0.26,ipca
2008-10-01,0.45,ipca
2008-11-01,0.36,ipca
2008-12-01,0.28,ipca
2009-01-01,0.48,ipca
2009-02-01,0.55,ipca
2009-03-01,0.2,ipca
2009-04-01,0.48,ipca
2009-05-01,0.47,ipca
2009-06-01,0.36,ipca
2009-07-01,0.24,ipca
2009-08-01,0.15,ipca
2009-09-01,0.24,ipca
2009-10-01,0.28,ipca
2009-11-01,0.41,ipca
2009-12-01,0.37,ipca
2010-01-01,0.75,ipca
2010-02-01,0.78,ipca
2010-03-01,0.52,ipca
2010-04-01,0.57,ipca
2010-05-01,0.43,ipca
2010-06-01,0,ipca
2010-07-01,0.01,ipca
2010-08-01,0.04,ipca
2010-09-01,0.45,ipca
2010-10-01,0.75,ipca
2010-11-01,0.83,ipca
2010-12-01,0.63,ipca
2011-01-01,0.83,ipca
2011-02-01,0.8,ipca
2011-03-01,0.79,ipca
2011-04-01,0.77,ipca
2011-05-01,0.47,ipca
2011-06-01,0.15,ipca
2011-07-01,0.16,ipca
2011-08-01,0.37,ipca
2011-09-01,0.53,ipca
2011-10-01,0.43,ipca
2011-11-01,0.52,ipca
2011-12-01,0.5,ipca
2012-01-01,0.56,ipca
2012-02-01,0.45,ipca
2012-03-01,0.21,ipca
2012-04-01,0.64,ipca
2012-05-01,0.36,ipca
2012-06-01,0.08,ipca
2012-07-01,0.43,ipca
2012-08-01,0.41,ipca
2012-09-01,0.57,ipca
2012-10-01,0.59,ipca
2012-11-01,0.6,ipca
2012-12-01,0.79,ipca
2013-01-01,0.86,ipca
2013-02-01,0.6,ipca
2013-03-01,0.47,ipca
2013-04-01,0.55,ipca
2013-05-01,0.37,ipca
2013-06-01,0.26,ipca
2013-07-01,0.03,ipca
2013-08-01,0.24,ipca
2013-09-01,0.35,ipca
2013-10-01,0.57,ipca
2013-11-01,0.54,ipca
2013-12-01,0.92,ipca
2014-01-01,0.55,ipca
2014-02-01,0.69,ipca
2014-03-01,0.92,ipca
2014-04-01,0.67,ipca
2014-05-01,0.46,ipca
2014-06-01,0.4,ipca
2014-07-01,0.01,ipca
2014-08-01,0.25,ipca
2014-09-01,0.57,ipca
2014-10-01,0.42,ipca
2014-11-01,0.51,ipca
2014-12-01,0.78,ipca
2015-01-01,1.24,ipca
2015-02-01,1.22,ipca
2015-03-01,1.32,ipca
2015-04-01,0.71,ipca
2015-05-01,0.74,ipca
2015-06-01,0.79,ipca
2015-07-01,0.62,ipca
2015-08-01,0.22,ipca
2015-09-01,0.54,ipca
2015-10-01,0.82,ipca
2015-11-01,1.01,ipca
2015-12-01,0.96,ipca
2016-01-01,1.27,ipca
2016-02-01,0.9,ipca
2016-03-01,0.43,ipca
2016-04-01,0.61,ipca
2016-05-01,0.78,ipca
2016-06-01,0.35,ipca
2016-07-01,0.52,ipca
2016-08-01,0.44,ipca
2016-09-01,0.08,ipca
2016-10-01,0.26,ipca
2016-11-01,0.18,ipca
2016-12-01,0.3,ipca
2017-01-01,0.38,ipca
2017-02-01,0.33,ipca
2017-03-01,0.25,ipca
2017-04-01,0.14,ipca
2017-05-01,0.31,ipca
2017-06-01,-0.23,ipca
2017-07-01,0.24,ipca
2017-08-01,0.19,ipca
2017-09-01,0.16,ipca
2017-10-01,0.42,ipca
2017-11-01,0.28,ipca
2017-12-01,0.44,ipca
2018-01-01,0.29,ipca
2018-02-01,0.32,ipca
2018-03-01,0.09,ipca
2018-04-01,0.22,ipca
2018-05-01,0.4,ipca
2018-06-01,1.26,ipca
2018-07-01,0.33,ipca
2018-08-01,-0.09,ipca
2018-09-01,0.48,ipca
2018-10-01,0.45,ipca
2018-11-01,-0.21,ipca
2018-12-01,0.15,ipca
2019-01-01,0.32,ipca
2019-02-01,0.43,ipca
2019-03-01,0.75,ipca
