data,grupo,valor
2020-01-01,1.Alimentação e bebidas,0.45
2020-01-01,2.Habitação,0.45
2020-01-01,3.Artigos de residência,-0.07
2020-01-01,4.Vestuário,-0.46
2020-01-01,5.Transportes,0.43
2020-01-01,6.Saúde e cuidados pessoais,-0.76
2020-01-01,7.Despesas pessoais,0.3
2020-01-01,8.Educação,0.17
2020-01-01,9.Comunicação,0.09
2020-02-01,1.Alimentação e bebidas,0.13
2020-02-01,2.Habitação,-0.41
2020-02-01,3.Artigos de residência,-0.1
2020-02-01,4.Vestuário,-0.63
2020-02-01,5.Transportes,-0.18
2020-02-01,6.Saúde e cuidados pessoais,0.91
2020-02-01,7.Despesas pessoais,0.18
2020-02-01,8.Educação,3.48
2020-02-01,9.Comunicação,0.18
2020-03-01,1.Alimentação e bebidas,1.12
2020-03-01,2.Habitação,0.12
2020-03-01,3.Artigos de residência,-1.07
2020-03-01,4.Vestuário,0.14
2020-03-01,5.Transportes,-0.41
2020-03-01,6.Saúde e cuidados pessoais,0.2
2020-03-01,7.Despesas pessoais,-0.29
2020-03-01,8.Educação,0.63
2020-03-01,9.Comunicação,0
2020-04-01,1.Alimentação e bebidas,1.91
2020-04-01,2.Habitação,-0.14
2020-04-01,3.Artigos de residência,-1.57
2020-04-01,4.Vestuário,-0.1
2020-04-01,5.Transportes,-2.52
2020-04-01,6.Saúde e cuidados pessoais,-0.24
2020-04-01,7.Despesas pessoais,-0.18
2020-04-01,8.Educação,-0.03
2020-04-01,9.Comunicação,-0.25
2020-05-01,1.Alimentação e bebidas,0.4
2020-05-01,2.Habitação,-0.29
2020-05-01,3.Artigos de residência,0.54
2020-05-01,4.Vestuário,-0.67
2020-05-01,5.Transportes,-1.44
2020-05-01,6.Saúde e cuidados pessoais,-0.16
2020-05-01,7.Despesas pessoais,-0.01
2020-05-01,8.Educação,0
2020-05-01,9.Comunicação,0.28
2020-06-01,1.Alimentação e bebidas,0.37
2020-06-01,2.Habitação,0.1
2020-06-01,3.Artigos de residência,1.27
2020-06-01,4.Vestuário,-0.51
2020-06-01,5.Transportes,0.6
2020-06-01,6.Saúde e cuidados pessoais,0.07
2020-06-01,7.Despesas pessoais,-0.05
2020-06-01,8.Educação,0.04
2020-06-01,9.Comunicação,0.73
2020-07-01,1.Alimentação e bebidas,0.14
2020-07-01,2.Habitação,0.94
2020-07-01,3.Artigos de residência,0.84
2020-07-01,4.Vestuário,-0.58
2020-07-01,5.Transportes,0.84
2020-07-01,6.Saúde e cuidados pessoais,0.46
2020-07-01,7.Despesas pessoais,0.11
2020-07-01,8.Educação,-0.16
2020-07-01,9.Comunicação,0.41
2020-08-01,1.Alimentação e bebidas,0.8
2020-08-01,2.Habitação,0.39
2020-08-01,3.Artigos de residência,0.59
2020-08-01,4.Vestuário,-0.75
