data,grupo,valor
2020-02-01,1.Alimentação e bebidas,-0.1
2020-02-01,2.Habitação,0.07
2020-02-01,3.Artigos de residência,0.17
2020-02-01,4.Vestuário,-0.83
2020-02-01,5.Transportes,0.2
2020-02-01,6.Saúde e cuidados pessoais,-0.29
2020-02-01,7.Despesas pessoais,0.31
2020-02-01,8.Educação,3.61
2020-02-01,9.Comunicação,0.02
2020-03-01,1.Alimentação e bebidas,0.35
2020-03-01,2.Habitação,-0.28
2020-03-01,3.Artigos de residência,-0.05
2020-03-01,4.Vestuário,-0.22
2020-03-01,5.Transportes,-0.8
2020-03-01,6.Saúde e cuidados pessoais,0.84
2020-03-01,7.Despesas pessoais,0.03
2020-03-01,8.Educação,0.61
2020-03-01,9.Comunicação,0.33
2020-04-01,1.Alimentação e bebidas,2.46
2020-04-01,2.Habitação,0.12
2020-04-01,3.Artigos de residência,-3.19
2020-04-01,4.Vestuário,0.01
2020-04-01,5.Transportes,-1.47
2020-04-01,6.Saúde e cuidados pessoais,-0.32
2020-04-01,7.Despesas pessoais,-0.28
2020-04-01,8.Educação,-0.01
2020-04-01,9.Comunicação,-0.3
2020-05-01,1.Alimentação e bebidas,0.46
2020-05-01,2.Habitação,-0.27
2020-05-01,3.Artigos de residência,0.45
2020-05-01,4.Vestuário,-0.2
2020-05-01,5.Transportes,-3.15
2020-05-01,6.Saúde e cuidados pessoais,-0.13
2020-05-01,7.Despesas pessoais,-0.09
2020-05-01,8.Educação,0.01
2020-05-01,9.Comunicação,0.22
2020-06-01,1.Alimentação e bebidas,0.47
2020-06-01,2.Habitação,-0.07
2020-06-01,3.Artigos de residência,1.36
2020-06-01,4.Vestuário,-0.15
2020-06-01,5.Transportes,-0.71
2020-06-01,6.Saúde e cuidados pessoais,-0.01
2020-06-01,7.Despesas pessoais,-0.03
2020-06-01,8.Educação,0.03
2020-06-01,9.Comunicação,0.66
2020-07-01,1.Alimentação e bebidas,-0.13
2020-07-01,2.Habitação,0.5
2020-07-01,3.Artigos de residência,0.68
2020-07-01,4.Vestuário,-0.91
2020-07-01,5.Transportes,1.11
2020-07-01,6.Saúde e cuidados pessoais,0.4
2020-07-01,7.Despesas pessoais,-0.23
2020-07-01,8.Educação,-0.07
2020-07-01,9.Comunicação,0.46
2020-08-01,1.Alimentação e bebidas,0.34
2020-08-01,2.Habitação,0.57
2020-08-01,3.Artigos de residência,0.88
2020-08-01,4.Vestuário,-0.63
2020-08-01,5.Transportes,0.75
2020-08-01,6.Saúde e cuidados pessoais,0.62
2020-08-01,7.Despesas pessoais,0.03
2020-08-01,8.Educação,-3.27
2020-08-01,9.Comunicação,0.86
2020-09-01,1.Alimentação e bebidas,1.48
2020-09-01,2.Habitação,0.34
2020-09-01,3.Artigos de residência,0.79
2020-09-01,4.Vestuário,-0.27
2020-09-01,5.Transportes,0.83
2020-09-01,6.Saúde e cuidados pessoais,-0.69
2020-09-01,7.Despesas pessoais,0.09
2020-09-01,8.Educação,-0.11
2020-09-01,9.Comunicação,0.15
2020-10-01,1.Alimentação e bebidas,2.24
2020-10-01,2.Habitação,0.4
2020-10-01,3.Artigos de residência,1.41
2020-10-01,4.Vestuário,0.84
2020-10-01,5.Transportes,1.34
2020-10-01,6.Saúde e cuidados pessoais,0.28
2020-10-01,7.Despesas pessoais,0.14
2020-10-01,8.Educação,-0.02
2020-10-01,9.Comunicação,0.23
2020-11-01,1.Alimentação e bebidas,2.16
